Month,Indian_Arrivals,AVGgoogle_trend
2010-01,9141,40.000
2010-02,8383,40.000
2010-03,8607,32.333
2010-04,7732,32.333
2010-05,10686,42.667
2010-06,10589,35.667
2010-07,9085,39.000
2010-08,9255,81.000
2010-09,8864,61.667
2010-10,13237,84.667
2010-11,15550,42.667
2010-12,15753,48.000
2011-01,13786,42.667
2011-02,10071,28.000
2011-03,13619,33.333
2011-04,14705,41.333
2011-05,16649,24.667
2011-06,12927,33.000
2011-07,12587,36.667
2011-08,12857,48.667
2011-09,13329,38.667
2011-10,17915,46.667
2011-11,15474,46.000
2011-12,17455,43.333
2012-01,14615,53.000
2012-02,11342,56.667
2012-03,14391,54.667
2012-04,15432,46.000
2012-05,15888,50.000
2012-06,13758,40.667
2012-07,11564,52.000
2012-08,11242,57.000
2012-09,13888,61.000
2012-10,17654,56.667
2012-11,17625,53.000
2012-12,18941,47.000
2013-01,16938,55.333
2013-02,14429,53.333
2013-03,15281,53.667
2013-04,12657,43.333
2013-05,17834,43.333
2013-06,15297,42.667
2013-07,14783,51.000
2013-08,18999,52.000
2013-09,18389,48.000
2013-10,21833,54.667
2013-11,19796,49.667
2013-12,22559,45.333
2014-01,17886,39.667
2014-02,17534,40.333
2014-03,18734,37.333
2014-04,17192,36.333
2014-05,22981,36.667
2014-06,19911,37.333
2014-07,19277,39.333
2014-08,17912,43.333
2014-09,19244,46.000
2014-10,26148,47.667
2014-11,19762,49.667
2014-12,26153,45.333
2015-01,22944,55.333
2015-02,19999,48.000
2015-03,21838,47.000
2015-04,23048,43.667
2015-05,31764,49.000
2015-06,25860,48.667
2015-07,24681,37.333
2015-08,23540,43.000
2015-09,27233,46.000
2015-10,30574,49.333
2015-11,29329,49.333
2015-12,35437,56.000
2016-01,28895,47.667
2016-02,26559,47.333
2016-03,30170,48.000
2016-04,25890,45.333
2016-05,34259,41.333
2016-06,27068,40.333
2016-07,27665,42.333
2016-08,24418,38.333
2016-09,27241,45.000
2016-10,36471,37.333
2016-11,30148,40.333
2016-12,37945,43.333
2017-01,31173,42.000
2017-02,26320,37.333
2017-03,27075,35.667
2017-04,26323,36.667
2017-05,34167,39.333
2017-06,27836,39.333
2017-07,29006,38.333
2017-08,31220,47.000
2017-09,34481,50.333
2017-10,36996,47.333
2017-11,32243,52.333
2017-12,47788,54.000
2018-01,37936,59.333
2018-02,32914,47.000
2018-03,30583,46.333
2018-04,29860,40.667
2018-05,42073,43.000
2018-06,32971,39.333
2018-07,31032,41.000
2018-08,32115,41.000
2018-09,32300,44.000
2018-10,38169,45.333
2018-11,39137,44.000
2018-12,45797,45.000
2019-01,40049,46.000
2019-02,32286,45.333
2019-03,34812,42.000
2019-04,23431,46.000
2019-05,11246,22.000
2019-06,15048,28.000
2019-07,18309,39.333
2019-08,37568,47.000
2019-09,28917,40.000
2019-10,33217,44.333
2019-11,31677,53.333
2019-12,48442,52.000
2020-01,41448,60.000
2020-02,35309,48.000
2020-03,12600,23.667
2020-04,0,14.667
2020-05,0,10.000
2020-06,0,8.000
2020-07,0,8.333
2020-08,0,9.000
2020-09,0,10.000
2020-10,0,10.000
2020-11,0,12.000
2020-12,0,14.000
2021-01,17,17.667
2021-02,79,15.000
2021-03,183,13.667
2021-04,796,16.333
2021-05,39,18.333
2021-06,5,15.333
2021-07,8,18.333
2021-08,405,13.333
2021-09,8528,15.667
2021-10,8406,21.000
2021-11,14236,30.000
2021-12,23566,22.333
2022-01,11751,24.000
2022-02,12744,31.333
2022-03,23216,35.667
2022-04,8678,17.667
2022-05,5562,12.333
2022-06,6810,10.667
2022-07,6031,11.333
2022-08,5340,10.333
2022-09,6493,16.333
2022-10,8862,14.667
2022-11,10167,16.667
2022-12,17350,19.333
2023-01,13759,23.333
2023-02,13714,17.667
2023-03,18959,19.333
2023-04,19915,22.333
2023-05,23016,21.000
2023-06,26830,23.333
2023-07,23461,27.333
2023-08,30593,25.000
2023-09,30063,32.667
2023-10,28222,44.000
2023-11,30339,39.333
2023-12,43973,32.000
2024-01,34399,30.000
2024-02,30027,28.000
2024-03,31853,27.333
2024-04,27304,33.000
2024-05,32254,34.667
2024-06,28631,31.667
2024-07,41173,32.667
2024-08,33031,37.000
2024-09,27884,33.333
2024-10,36417,33.333
2024-11,41120,38.333
2024-12,52881,40.667
2025-01,43375,36.333
2025-02,35728,33.667
2025-03,39212,38.333
2025-04,38744,38.000
2025-05,47001,37.000
2025-06,37934,33.000
2025-07,37128,33.667
2025-08,46473,35.333
2025-09,49697,33.333
2025-10,48113,38.000
2025-11,51391,69.000
2025-12,56715,69.333